id,name,code,iata,sign,country,status
3535,Mooney Aircraft Corporation,,MNY,MOONEY FLIGHT,United States,1
3536,Morningstar Air Express,,MAL,MORNINGSTAR,Canada,1
3537,Morris Air Service,,MSS,WASATCH,United States,1
3538,Morrison Flying Service,,MRO,MORRISON,United States,1
3539,Moskovia Airlines,3R,GAI,GROMOV AIRLINE,Russia,1
3540,Mosphil Aero,,MPI,MOSPHIL,Philippines,1
3541,Motor Sich,M9,MSI,MOTOR SICH,Ukraine,1
3542,Mount Cook Airlines,NM,NZM,MOUNTCOOK,New Zealand,1
3543,Mountain Air Cargo,,MTN,MOUNTAIN,United States,1
3544,Mountain Air Company,N4,MTC,MOUNTAIN LEONE,Sierra Leone,1
3545,Mountain Air Express,,PKP,PIKES PEAK,United States,1
3546,Mountain Air Service,,BRR,MOUNTAIN AIR,United States,1
3547,Mountain Bird,,MBI,MOUNTAIN BIRD,United States,1
3548,Mountain High Aviation,,MHA,MOUNTAIN HIGH,United States,1
3549,Mountain Pacific Air,,MPC,MOUNTAIN PACIFIC,Canada,1
3550,Mountain Valley Air Service,,MTV,MOUNTAIN VALLEY,United States,1
3551,Mowhawk Airlines,,MOW,MOHAWK AIR,United States,1
3552,Mudan Airlines,,MDN,,Somali Republic,1
3553,Mudanjiang General Aviation,,CMJ,MUDANJIANG,China,1
3554,Multi Taxi,,MTX,MULTITAXI,Mexico,1
3555,Multi-Aero,,WBR,WEBER,United States,1
3556,Multiflight,,MFT,YORKAIR,,1
3557,Murmansk Aircompany,,MNZ,MURMAN AIR,Russia,1
3558,Murray Air,,MUA,MURRAY AIR,United States,1
3559,Musrata Air Transport,,MMR,MUSRATA AIR,Libya,1
3560,Mustique Airways,,MAW,MUSTIQUE,Barbados,1
3561,My Way Airlines,,MYW,FRANKY,Italy,1
3562,MyTravel Airways,VZ,MYT,KESTREL,United Kingdom,1
3563,Myanma Airways,UB,UBA,UNIONAIR,Myanmar,1
3564,Myanmar Airways International,8M,MMM,assignment postponed,Myanmar,1
3565,Myflug,,MYA,MYFLUG,Iceland,1
3566,Mytravel Airways,,VKG,VIKING,Denmark,1
3567,NEL Cargo,,NLG,NELCARGO,Ivory Coast,1
3568,NHT Lineas Aereas,,NHG,HELGA,Brazil,1
3569,NZ Warbirds Association,,WAR,WARBIRDS,New Zealand,1
3570,Nacoia Lda,,ANL,AIR NACOIA,Angola,1
3571,Nada Air Service,,NHZ,NADA AIR,Chad,1
3572,Compangnie Nationale Naganagani,,BFN,,Burkina Faso,1
3573,Nahanni Air Services Ltd,,NAH,NAHANNI,Canada,1
3574,Nakheel Aviation,,NKL,NAKHEEL,United Arab Emirates,1
3575,Namibia Commerical Aviation,,MRE,MED RESCUE,Namibia,1
3576,Namibian Defence Force,,NDF,NAMIBIAN AIR FORCE,Namibia,1
3577,Nanjing Airlines,,CNJ,NINGHANG,China,1
3578,Nantucket Airlines,DV,ACK,ACK AIR,United States,1
3579,Nanyah Aviation,,NYA,NANYAH,Israel,1
3580,Napier Air Service Inc,,NAP,NAPIER,United States,1
3581,Nas Air,,NCM,AIR BANE,Angola,1
3583,Nasair,UE,NAS,NASAIRWAYS,Eritrea,1
3584,Nashville Jet Charters,,NJC,NASHVILLE JET,United States,1
3585,Natalco Air Lines,,NCO,NATALCO,S,1
3586,Natioanl Air Traffic Controllers Association,,NTK,NATCA,United States,1
3587,National Air Charter,,NSR,NASAIR,Indonesia,1
3588,National Air Traffic Services,,RFI,SHERLOCK,United Kingdom,1
3589,National Airlines,,NAN,NATION AIR,United States,1
3590,National Airlines,N4,NCN,,Chile,1
3591,National Airlines,N7,ROK,RED ROCK,United States,1
3592,National Airlines,NA,NAL,NATIONAL,United States,1
3593,National Airlines,,KUS,KUSWAG,South Africa,1
3595,National Airways Corporation,,LFI,AEROMED,South Africa,1
3596,National Aviation Company,,GTY,,Egypt,1
3597,National Aviation Consultants,,TNC,NATCOM,Canada,1
3598,National Express,,NXT,NATIONAL FREIGHT,United States,1
3599,National Grid,,GRD,GRID,United Kingdom,1
3600,National Jet Express,,JTE,JETEX,Australia,1
3601,National Jet Service,,AND,AIR INDIANA,United States,1
3602,National Jet Systems,NC,NJS,NATIONAL JET,Australia,1
3603,National Oceanic and Atmospheric Administration,,NAA,NOAA,United States,1
3604,National Overseas Airlines Company,,NOL,NAT AIRLINE,Egypt,1
3605,Nationale Luchtvaartschool,,NLS,PANDER,Netherlands,1
3606,Nations Air Express Inc,,NAE,NATIONS EXPRESS,United States,1
3607,Nationwide Airlines,CE,NTW,NATIONWIDE,South Africa,1
3608,Nationwide Airlines (Zambia),,NWZ,ZAMNAT,Zambia,1
3609,Natural Environment Research Council,,EVM,SCIENCE,United Kingdom,1
3610,Natureair,,NRR,NATUREAIR,Costa Rica,1
3611,Naturelink Charter,,NRK,NATURELINK,South Africa,1
3612,Nauru Air Corporation,ON,RON,AIR NAURU,Nauru,1
3613,NAV CANADA,,NVC,NAV CAN,Canada,1
3614,Nav Flight Planning,,NAV,NAV DISPATCH,Czech Republic,1
3615,Navegacao Aerea De Portugal,,NVP,,Portugal,1
3616,Navegacion Servicios Aereos Canarios SA,,NAY,NAYSA,Spain,1
3617,Navid,,IRI,NAVID,Iran,1
3618,Naviera Mexicana,,NVM,NAVIERA,Mexico,1
3619,Navigator Airlines,,NVL,NAVLINES,Armenia,1
3620,Navinc Airlines Services,,XNV,,United States,1
3622,Navtech System Support,,XNS,,Canada,1
3623,Nayzak Air Transport,,NZA,,Libya,1
3624,State of Nebraska,,NEB,NEBRASKA,United States,1
3625,Necon Air,,NEC,NECON AIR,Nepal,1
3626,Nederlandse Kustwacht,,NCG,NETHERLANDS COASTGUARD,Netherlands,1
3627,Nefteyugansk Aviation Division,,NFT,NEFTEAVIA,Russia,1
3628,Neiltown Air,,NLA,NEILTOWN AIR,Canada,1
3629,Nelair Charters,,NLC,NELAIR,South Africa,1
3630,Nelson Aviation College,,CGE,COLLEGE,New Zealand,1
3631,Nepal Airlines,RA,RNA,ROYAL NEPAL,Nepal,1
3632,Neos,NO,NOS,MOONFLOWER,Italy,1
3633,Neosiam Airways,,TOX,SKY KINGDOM,Thailand,1
3634,Neric,,NSL,NERICAIR,United Kingdom,1
3635,NetJets,1I,EJA,EXECJET,United States,1
3636,Network Aviation Services,,NET,NETWORK,Nigeria,1
3637,New England Air Express,,NEZ,ENGAIR,United States,1
3638,New England Airlines,EJ,NEA,NEW ENGLAND,United States,1
3639,New Heights 291,,NHT,NEWHEIGHTS,South Africa,1
3640,New World Jet Corporation,,NWD,NEW WORLD,United States,1
3641,New York Helicopter,,NYH,NEW YORK,United States,1
3642,New York State Police,,GRY,GRAY RIDER,United States,1
3643,New Zealand Air Defence Force,,KRC,KIWI RESCUE,New Zealand,1
3644,Newair,,HVA,HAVEN-AIR,United States,1
3645,Newfoundland Labrador Air Transport,,NLT,NALAIR,Canada,1
3646,NextJet,2N,NTJ,NEXTJET,Sweden,1
3647,Nextflight Aviation,,NXF,NEXTFLIGHT,United States,1
3648,Nexus Aviation,,NXS,NEXUS AVIATION,Nigeria,1
3649,Nicaraguense De Aviacion,,NIS,NICA,Nicaragua,1
3650,Nicon Airways,,NCN,NICON AIRWAYS,Nigeria,1
3651,Nigeria Airways,,NGA,NIGERIA,Nigeria,1
3652,Nigerian Air Force,,NGR,NIGERIAN AIRFORCE,Nigeria,1
3653,Nigerian Global,,NGX,AIR GLOBAL,Nigeria,1
3654,Night Express,,EXT,EXECUTIVE,Germany,1
3655,Niki,HG,NLY,FLYNIKI,Austria,1
3656,Nikolaev-Air,,NKV,AIR NIKOLAEV,Ukraine,1
3657,Nile Safaris Aviation,,NSA,NILE SAFARIS,Sudan,1
3658,Nile Valley Aviation Company,,NVA,,Egypt,1
3659,Nile Wings Aviation Services,,NLW,NILE WINGS,Sudan,1
3660,Nimbus Aviation,,NBS,NIMBUS,United Kingdom,1
3661,Nippon Cargo Airlines,KZ,NCA,NIPPON CARGO,Japan,1
3662,Nizhnevartovskavia,,NVK,VARTOSKAVIA,Russia,1
3663,Search and Rescue 202,,SRG,,United Kingdom,1
3664,Search and Rescue 22,,SRD,,United Kingdom,1
3665,No. 32 (The Royal) Squadron RAF,,NOH,NORTHOLT,United Kingdom,1
3666,84 Squadron Royal Air Force @ RAF Akrotiri,,AKG,GRIFTER,United Kingdom,1
3667,Nobil Air,,NBL,NOBIL AIR,Moldova,1
3668,Nok Air,DD,NOK,NOK AIR,Thailand,1
3669,Nolinor Aviation,,NRL,NOLINOR,Canada,1
3670,Nomad Aviation,,NMD,NOMAD AIR,Namibia,1
3671,Norcopter,,NOC,,Norway,1
3672,Nord-Flyg,,NEF,NORDEX,Sweden,1
3673,Nordeste Linhas Aereas Regionais,JH,NES,NORDESTE,Brazil,1
3674,Nordic Regional,6N,NRD,NORTH RIDER,Sweden,1
3675,Nordic Solutions,,NVD,NORDVIND,Lithuania,1
3676,Nordstree (Australia),,NDS,,Australia,1
3677,Norestair,,NRT,NORESTAIR,Spain,1
3678,Norfolk County Flight College,,NCF,COUNTY,United Kingdom,1
3679,Norontair,,NOA,NORONTAIR,Canada,1
